"ImageIndex","Chapter","Map","Source","Destination","SHA256","Status"
"72","1","131","1787760371445_2210334767131197631_g1860709059863148993_1f391ed57cb6c2853058ec3545f5f035.jpg","masterdata/chap1/131.jpeg","8B49AE6D5A33D1BFC80F5DD2D0701D2D6C008AFFBD12A2B81962CA969CE1FE03","added"
"73","1","132","1787760371519_2210334767131197631_g1860709059863148993_44a9d04f3eab3acceb1198269a9bc110.jpg","masterdata/chap1/132.jpeg","C006788E14135F9C5C1FC11C5B9A29704DA39EEF0501ACC5C13CAC4A313A2264","added"
"74","1","133","1787760371606_2210334767131197631_g1860709059863148993_b0f935c779428b47d5c474f3beb150bd.jpg","masterdata/chap1/133.jpeg","0C3B98F9E3A0F1D23AF7D3FDFE408C2B235D59DCFEC7B2C0CC67B7EB750AA8B6","added"
"75","1","135","1787760371680_2210334767131197631_g1860709059863148993_a7ce9c00a6fde798f9ba7b1af7223cfb.jpg","masterdata/chap1/135.jpeg","42B9421A9D4E1BE6EBA541716950D04B84C66940FE9E6D8ACE984430E8DA1A96","added"
"76","1","134","1787760371773_2210334767131197631_g1860709059863148993_cf751a094b4885898a00d7f393785b55.jpg","masterdata/chap1/134-2.jpeg","85BFDEB46400400A590D8DE4B0E40A2AFAC156F2A4A88B8A2837BD2CCB210B90","added"
"77","1","137","1787760371853_2210334767131197631_g1860709059863148993_1e6452ab4990b57c428e4968f40a99e1.jpg","masterdata/chap1/137.jpeg","8538B6AD094ECC2920DBB89EAE5D6D90CAC7C52F49724F6929DB7519A35B5FBC","added"
"78","1","140","1787760401106_2210334767131197631_g1860709059863148993_fab0a6b12129f9e75b5a77b9e4da27e5.jpg","masterdata/chap1/140.jpeg","F753FBB08F68CE2F06010C5770649203A6487B648E7FFF8C0623F025CD193673","added"
"79","1","141","1787760401182_2210334767131197631_g1860709059863148993_d409d9e40f989cbaf658bdbc07a3913d.jpg","masterdata/chap1/141.jpeg","68C488FCA0EB5842B05CE7DDFA6B79439CC4A5B7F8ECFAA40D7A5729B241AE4A","added"
"80","1","142","1787760401286_2210334767131197631_g1860709059863148993_b92167bad8789d19fc96a321fce2babd.jpg","masterdata/chap1/142.jpeg","B2BC3539FA7376CE0BA49897AEF6BB34D2613E6103DE572416CE5ECB6B010A94","added"
"81","1","143","1787760401380_2210334767131197631_g1860709059863148993_1cd4ac9fb26bddb12b1607285626ffba.jpg","masterdata/chap1/143.jpeg","14891DDBCA8CAE10DBA4E41F32B55609DEE43224455B49AA6EDB77EA5E861CCA","added"
"82","1","144","1787760401479_2210334767131197631_g1860709059863148993_decef15b71f9081ee37b8af1aad4e099.jpg","masterdata/chap1/144.jpeg","A67801BCF1986380B1A38EC7A4C5581FD4260FB28D363B4FDEEBBAA6A26DA588","added"
"83","1","145","1787760401549_2210334767131197631_g1860709059863148993_76cbe7f4563ae6813440e497357b0237.jpg","masterdata/chap1/145.jpeg","1A194C70E2247C37A301FBB3BE07069B5908A536FC4D8A34F37B3BBA82F1A718","added"
"84","1","146","1787760401669_2210334767131197631_g1860709059863148993_b02a848403edfdefd182f7f157ec78a6.jpg","masterdata/chap1/146.jpeg","99E0BF00BC98E0467387EF177E2B0642F8EDEDCE10225D578BBA544EBA23A639","added"
"85","1","147","1787760401748_2210334767131197631_g1860709059863148993_af4d8654bffc03dcb757b24e268b468a.jpg","masterdata/chap1/147.jpeg","530BDAA85FB01AD4460B3076D4A799D50286025B462EF6A61026D906A7E22793","added"
"86","1","148","1787760401840_2210334767131197631_g1860709059863148993_91ede636796689238d852c55e1a9f8dc.jpg","masterdata/chap1/148.jpeg","04B1721DBA5E5073E727BA183ACE2BD22B6CD0FD58BB788A9AA8BA4DE28C5B3B","added"
"87","1","149","1787760401907_2210334767131197631_g1860709059863148993_df2028208d9f8f4973d965f5baf128cb.jpg","masterdata/chap1/149.jpeg","50DDBD939130AD163B6FD3EBD48C0D8B0E693A0AE8BDE4F64B360D8EA6564F3E","added"
"88","1","151","1787760401997_2210334767131197631_g1860709059863148993_accd22900f01ebdea113bd6ca59d4918.jpg","masterdata/chap1/151.jpeg","2D456AB4753BE15CAA9887B8BBBB379559176DD84FA26D5735F4CF537A35ADE2","added"
"89","1","154","1787760402115_2210334767131197631_g1860709059863148993_45e4c659e48e0e04423a919c2adae8d7.jpg","masterdata/chap1/154.jpeg","9CA15BBE8A99249E27384DC329DB52AF90991503444C01D3CE62D2B9B9409A63","added"
"90","1","153","1787760402204_2210334767131197631_g1860709059863148993_fc4ec4d9cdda32f30c6ae43e7bfeb0b0.jpg","masterdata/chap1/153.jpeg","C3A784B068A5BC2878C83160A9F635820EBB513DB324B61372406122C90AF6F6","added"
"91","1","152","1787760402301_2210334767131197631_g1860709059863148993_3db23254c837f0280f000dc39733bb80.jpg","masterdata/chap1/152.jpeg","75E0D909DF5D1DB5225C4AE7899F74E3A6F237EAFAB855E4E27E5588D73A6E80","added"
"92","1","155","1787760402367_2210334767131197631_g1860709059863148993_f86c456c4d18cfa7c527f65dad48f6e0.jpg","masterdata/chap1/155.jpeg","502F834E9D9D07F65A2966469BB214F81B35506B41FE47F38301E7719375DF91","added"
"93","1","156","1787760402443_2210334767131197631_g1860709059863148993_d2ce25251682c21ec05899e95a90675e.jpg","masterdata/chap1/156.jpeg","3ED90140F39B73BB6E50837374C205386B473F76E75C3BFFF3D6CC1AA10225F3","added"
